Sr.no,Botanical Name,Common Name,DSR Code,Height (ft),Spread (m),Spacing (m c/c),Unit Price,Effect,Canes
1,Bauhinia Blakeana,Hong Kong Orchid Tree,,5,    ,    ,1000,    ,
2,Delonix Regia,Gulmohar,,5,    ,    ,600,    ,
3,Callistemon Ianceolatus,Bottlebrush,,5,    ,    ,600,    ,
4,Cassia Fistula,Amaltas,,4,    ,    ,480,    ,
5,Azadirachta,Neem,,5,    ,    ,600,    ,
6,Mimusops elengi,Maulsari,,5,    ,    ,600,    ,
7,Plumeria alba,Safed Champa,,6,    ,    ,1000,    ,
8,Plumeria rubra,Red frangipani,,5,    ,    ,1600,    ,
9,Spathodea campanulata,African Tulip tree,,5,    ,    ,600,    ,
10,Polyalthia longifoila,Ashoka tree,,,    ,    ,480,    ,
11,Bismarckia nobilis,Bismarck Palm,,6,    ,    ,3500,    ,
12,Caryota urens,Fishtail Palm,,8,    ,    ,2500,    ,
13,Pheonix sylvestris,Date palm,,    ,    ,    ,7000,    ,
14,Wodyetia bifurcata,Foxtail palm,,9,    ,    ,2000,    ,
15,Terminalia Mantaly,Madagascar Almond,,15,    ,    ,2000,    ,
16,Bauhinia Acuminata,White orchid,,2,0.45,0.5,160,    ,
17,Bauhinia Tomentosa,Yellow Orchid,,2,0.45,0.5,240,    ,
18,Cassia Biflora,Golden Cassia,,2,0.45,0.5,160,    ,
19,Ficus Panda,Golden Ficus,,1.5,0.45,0.45,50,    ,
20,Tecoma Gaudichaudi,Yellow Bellsdwarf,,2.5,0.6,0.5,80,    ,
21,Hamelia Patens,Fire brush,,1.5,0.45,0.45,80,    ,
22,Hibiscus Rosa sinesis,China rose,,2,0.45,0.5,50,    ,
23,Marraya Exotica,Kamini,,1.5,0.45,0.45,50,    ,
24,Neriuim Oleander,Kaner,,2.5,0.6,0.5,60,    ,
25,Asparagus Sprengeri,Sprengeri Fern,,1,0.3,    ,50,Carpet,
26,Clerodendrum Inerme,Inerme,,1,0.3,    ,50,Carpet,
27,Cuphea Chinesis,,,1,0.3,    ,50,Carpet,
28,Daniella Variegated,Variegated Flax Lily,,1,0.2,    ,150,Carpet,
29,Duranta Golden,Golden Dewdrop,,1,0.3,    ,25,Carpet,
30,Euphoria Milli Hybrid,Crown of Throns,,1,0.3,    ,80,Carpet,
31,Iresine Herbstii,Iresine,,1,0.3,    ,50,Carpet,
32,Ophiopogon black,Black Grass,,0.5,0.2,    ,50,Carpet,
33,Syngonium podophyllum,Syngonium,,1,0.3,    ,60,Carpet,
34,Wedelia Triloblata,Wedelia,,0.5,0.2,    ,50,Carpet,
35,Lawn Grass,Selection no.1,,    ,,    ,10,    ,
36,Rhapis Excelsa,Broadleaf Lady Palm,,    ,,    ,500,    ,
37,Chandni Dwarf,,,    ,,0.45,60,    ,
38,Calliandea Haematocephala,Powder puff,,2,,0.6,50,    ,
39,Calsalpinia Pulcherrima,Peacock Flower,,2,,0.6,60,    ,
40,Alpinia Zerumbet variegata,Variegated shell ginger,,    ,    ,    ,150,    ,
41,Schefflera arboricola variegata,Dwarf umbralla tree,,    ,    ,    ,100,    ,
42,Tradescantia,Wandering jew,,0.5,    ,    ,25,    ,
43,Bambusa ventricosa,Buddha Belly Bamboo,,6,    ,    ,800,    ,3
44,Phyllostachys aurea,Golden Bamboo,,6,    ,    ,200,    ,3
45,Cassia nodasa,Pink shower,,5,    ,    ,1500,    ,
46,Jacaranda mimosofolia,Neeli gulmohar,,5,    ,    ,300,    ,
47,Plumeria alba dwarf,safed champa dwarf,,    ,    ,    ,850,    ,
48,Pheonix roebelinii,Pigmy date palm,,8,    ,    ,1100,    ,
49,Cycas Revoluta,Sago Palm,,    ,    ,    ,7500,    ,
50,Areca Palm,,,8,    ,    ,1500,    ,
51,Bauhinia Blakeana,Hong Kong Orchid Tree,,10,    ,    ,2000,    ,
52,Delonix Regia,Gulmohar,,15,    ,    ,2000,    ,
53,Callistemon Ianceolatus,Bottlebrush,,8,    ,    ,1500,    ,
54,Cassia Fistula,Amaltas,,12,    ,    ,1550,    ,
55,Azadirachta,Neem,,15,    ,    ,1000,    ,
56,Mimusops elengi,Maulsari,,10,    ,    ,1500,    ,
57,Plumeria alba,Safed Champa,,8,    ,    ,1500,    ,
58,Plumeria rubra,Red frangipani,,12,    ,    ,2000,    ,
59,Spathodea campanulata,African Tulip tree,,12,    ,    ,2000,    ,
60,Polyalthia longifoila,Ashoka tree,,12,    ,    ,1500,    ,
61,Bismarckia nobilis,Bismarck Palm,,12,    ,    ,15000,    ,
62,Caryota urens,Fishtail Palm,,12,    ,    ,2500,    ,
63,Washingtonia Filifera Palm,California Fan Palm,,15,    ,    ,15000,    ,
64,Wodyetia bifurcata,Foxtail palm,,15,    ,    ,2000,    ,
